OG_ID,Error,MSA_N_Seqs,MSA_Length,APSI_Ungapped,MSA_Mean_Col_Entropy,Tree_PD_TotalBranchLength,Tree_N_Tips,Tree_Hill_Diversity_q1,Tree_Hill_Diversity_q1_NormByTips,Mean_TMscore,Median_TMscore,StdDev_TMscore,Mean_RMSD,Median_RMSD,StdDev_RMSD,Mean_TM_Level,StdDev_TM_Level,Structural_Profile,OG_Size_Bin,Marker_Size,Mean_Num_Domains,Mean_Percent_Disorder,Dominant_IPR,Dominant_IPR_Name,Domain_Architecture,Conservation_Category
OG0001279.ASG,,120,300,31.5808,2.2196,37.6942,120.0,39.4346,0.3286,0.9027190476190476,0.9461,0.06043524318679971,1.7338095238095237,1.63,0.468758745950155,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.0,0.08178796884126983,IPR027417,P-loop containing nucleoside triphosphate hydrolase,IPR027417,Structurally Rigid
OG0001359.ASG,,108,276,35.209,2.1512,48.6409,108.0,44.9775,0.4165,0.89602,0.89615,0.05413474546598207,1.503,1.47,0.6271815260884736,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.0606060606060606,0.07685635292173912,IPR011055,Duplicated hybrid motif,IPR011055,Structurally Rigid
OG0001372.ASG,,104,140,35.1702,2.1739,48.9231,104.0,62.1202,0.5973,0.9003688888888888,0.8898,0.03158954676228302,1.6351111111111112,1.58,0.31600936567120796,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,2.9411764705882355,0.07854498782300885,IPR000623|IPR027417|IPR031322,Unknown,IPR000623|IPR027417|IPR031322,High-Diversity Rigid
OG0001487.ASG,,91,252,26.9467,2.5037,42.784,91.0,51.7477,0.5687,0.9145666666666666,0.9071,0.016242639358593592,1.7466666666666668,1.71,0.2272296928953902,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,2.0,0.07619259317,IPR000182|IPR016181,Unknown,IPR000182|IPR016181,High-Diversity Rigid
OG0001494.ASG,,90,247,29.9059,2.2133,29.0739,90.0,16.2978,0.1811,0.9511333333333333,0.9267,0.0423197747315996,0.52,0.78,0.4503332099679081,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,2.6557377049180326,0.08839618932,IPR010551|IPR011051|IPR014710,Unknown,IPR010551|IPR011051|IPR014710,Structurally Rigid
OG0001537.ASG,,84,289,31.3228,2.2613,42.3878,84.0,35.8426,0.4267,0.96462,0.9584,0.020389640226630472,1.1973333333333334,1.3,0.4385441282025703,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.2894736842105263,0.09516695015957446,IPR008930,Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid,IPR008930,Structurally Rigid
OG0001619.ASG,,68,410,31.8681,2.2506,32.9144,68.0,36.3222,0.5341,0.9009236363636364,0.893,0.04501112604693941,2.304909090909091,2.51,0.7075436715412321,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.5606060606060606,0.06928131015116279,IPR016181,Acyl-CoA N-acyltransferase,IPR000182|IPR016181,High-Diversity Rigid
OG0001625.ASG,,80,182,31.0787,2.2411,30.0103,80.0,22.7241,0.2841,0.9465666666666667,0.9435,0.034760533175811126,1.3333333333333333,1.5,0.731209044437134,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.75,0.15626823080232558,IPR036390,Winged helix DNA-binding domain superfamily,IPR036388|IPR036390,Structurally Rigid
OG0001653.ASG,,71,425,31.3228,2.2644,38.1154,71.0,39.2769,0.5532,0.95146,0.94755,0.01873168438768921,1.613,1.77,0.589256593797077,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.0,0.0910289383373494,IPR009351,DNA glycosylase AlkZ-like,IPR009351,High-Diversity Rigid
OG0001675.ASG,,78,167,35.5156,2.1761,40.4707,78.0,45.7977,0.5872,0.94337,0.96545,0.035490469769283745,1.0550000000000002,1.07,0.22897112869918285,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.96,0.07722042103658537,IPR000073|IPR029058,Unknown,IPR000073|IPR029058,High-Diversity Rigid
OG0001745.ASG,,68,485,30.7612,2.3614,45.9763,68.0,32.7721,0.4819,0.9225346153846155,0.9336,0.04712444653827205,1.8523076923076922,1.7650000000000001,0.4885704646221452,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.2222222222222223,0.11162912800000001,IPR036390,Winged helix DNA-binding domain superfamily,IPR036388|IPR036390,High-Diversity Rigid
OG0001855.ASG,,49,500,32.3135,2.2051,33.2088,49.0,29.4387,0.6008,0.8930899999999999,0.88785,0.04196658591466948,2.7190000000000003,2.835,0.5794144553867389,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,,0.1173802621111111,,Unknown,Unknown,High-Diversity Rigid
OG0001865.ASG,,65,257,34.4787,2.1337,35.4933,65.0,34.5055,0.5309,0.8917333333333334,0.8733,0.03774131246613803,2.271666666666667,2.5149999999999997,0.4451254504818462,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.0,0.13305105729577463,IPR018247,"EF-Hand 1, calcium-binding site",IPR018247,High-Diversity Rigid
OG0002050.ASG,,55,380,30.3336,2.209,29.1008,55.0,29.7214,0.5404,0.9018166666666666,0.9003,0.031801032477997725,2.0883333333333334,2.0700000000000003,0.2862458151076914,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.5454545454545454,0.0935614224516129,IPR036259,MFS transporter superfamily,IPR036259,High-Diversity Rigid
OG0002075.ASG,,55,166,31.1893,2.2862,38.118,55.0,32.675,0.5941,0.8791166666666667,0.87515,0.05537015140548801,1.8283333333333331,1.88,0.6807765174171818,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,1.0175438596491229,0.10441167139344262,IPR027417,P-loop containing nucleoside triphosphate hydrolase,IPR027417,High-Diversity Rigid
OG0002143.ASG,,58,103,31.2354,2.2288,29.4807,58.0,33.9424,0.5852,0.91955,0.919,0.03534423573936777,1.27,1.3,0.2652545946821656,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,50-200,12,0.0,0.14797347551724138,,Unknown,Unknown,High-Diversity Rigid
OG0002327.ASG,,49,188,33.7578,2.1152,27.1247,49.0,23.4669,0.4789,0.87468,0.8498,0.057449396366342664,1.7266666666666666,2.06,0.6372896478353428,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,1.2857142857142858,0.09228317588235295,IPR027417,P-loop containing nucleoside triphosphate hydrolase,IPR027417,High-Diversity Rigid
OG0002562.ASG,,43,256,29.545,2.2711,29.656,43.0,24.6481,0.5732,0.9012222222222223,0.898,0.0351906876168895,2.0244444444444443,2.16,0.5434509075242111,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,,0.07061050735555555,,Unknown,Unknown,High-Diversity Rigid
OG0002720.ASG,,38,288,30.509,2.2741,29.6592,38.0,23.0047,0.6054,0.9076933333333332,0.9141,0.04700638963658733,1.9006666666666665,1.96,0.40993843904850363,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,1.0,0.08927741595121952,IPR000182,GNAT domain,IPR000182,High-Diversity Rigid
OG0002776.ASG,,36,197,32.4802,2.1345,20.2207,36.0,25.8928,0.7192,0.9124333333333333,0.8943,0.04483986321715684,1.8033333333333335,1.98,0.44230457078051233,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,2.057142857142857,0.086976987325,IPR018641|IPR029044,Unknown,IPR018641|IPR029044,High-Diversity Rigid
OG0002964.ASG,,33,432,29.7259,2.1646,22.667,33.0,20.9424,0.6346,0.92705,0.9346,0.016700628730679627,2.03,2.0300000000000002,0.31987497557639616,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,,0.056594927583333336,,Unknown,Unknown,High-Diversity Rigid
OG0002971.ASG,,36,122,30.1695,2.2495,26.4139,36.0,24.2326,0.6731,0.9054833333333333,0.89075,0.056465119026410174,1.4000000000000001,1.69,0.6887089370699353,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,2.757575757575758,0.08079367297222223,IPR003812|IPR036597|IPR053737,Unknown,IPR003812|IPR036597|IPR053737,High-Diversity Rigid
OG0002997.ASG,,29,618,27.6119,2.2999,24.8378,29.0,18.7106,0.6452,0.8936333333333333,0.90045,0.035296043215446486,2.56,2.66,0.3667151483099655,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,,0.15910818825714287,,Unknown,Unknown,High-Diversity Rigid
OG0003211.ASG,,29,533,30.8404,2.1161,23.5436,29.0,16.4714,0.568,0.8727666666666667,0.8539,0.05174720604374057,3.146666666666667,3.72,1.15244667266357,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,1.0,0.09383512783870968,IPR002797,Polysaccharide biosynthesis protein,IPR002797,High-Diversity Rigid
OG0003375.ASG,,27,218,25.4542,2.26,20.9246,27.0,21.2996,0.7889,0.8978333333333334,0.8998,0.01266504375568175,2.033333333333333,2.09,0.12503332889007374,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,,0.0626821125,,Unknown,Unknown,High-Diversity Rigid
OG0003470.ASG,,24,354,28.4414,2.15,17.4849,24.0,17.9803,0.7492,0.9045666666666667,0.92445,0.060311613033201775,2.0533333333333332,2.045,0.4010320020480494,High_Mean_TM,Low_StdDev_TM,Structurally Rigid,<50,8,1.7083333333333333,0.04335742655555556,IPR000182|IPR016181,Unknown,IPR000182|IPR016181,High-Diversity Rigid
